openalex_id,orcid,display_name,display_name_alternatives,works_count,cited_by_count,h_index,i10_index,two_year_mean_citedness,works_api_url,updated_date,created_date,last_updated
A5026024797,https://orcid.org/0000-0001-5369-4825,"Jonathan St-Onge","[""Jonathan St‐Onge""]",16,41,4,1,1.0,https://api.openalex.org/works?filter=author.id:A5026024797,2025-09-09T19:54:54.968001,2023-07-21,2025-09-17T15:09:39.488Z
A5073688320,https://orcid.org/0000-0002-1619-7552,"Juniper Lovato","[""Juniper L. Lovato"",""Juniper Lovato"",""J. Lovato""]",21,63,5,1,1.11111111111111,https://api.openalex.org/works?filter=author.id:A5073688320,2025-09-14T07:13:30.558982,2023-07-21,2025-09-17T15:09:40.654Z
A5035455593,https://orcid.org/0000-0002-0008-3673,"Laurent Hébert‐Dufresne","[""L. Hébert‐Dufresne"",""Laurent Hebert‐Dufrésne"",""Laurent Hèbert‐Dufresne"",""Laurent Hebert‐Dufresne"",""Laurent Hébert‐Dufresne"",""L Hebert‐Dufresne""]",208,3725,31,66,1.97674418604651,https://api.openalex.org/works?filter=author.id:A5035455593,2025-09-08T03:48:00.302068,2023-07-21,2025-09-17T15:09:41.862Z
A5027682832,https://orcid.org/0000-0002-3201-8964,"Amanda Casari","[""Amanda Casari""]",11,30,2,2,0.285714285714286,https://api.openalex.org/works?filter=author.id:A5027682832,2025-08-23T19:26:28.097984,2023-07-21,2025-09-17T15:09:43.240Z
A5027136376,https://orcid.org/0000-0002-8208-9920,"Antoine Allard","[""Antoine Allard"",""A. Allard"",""Andrew Allard"",""Â Marie Allard""]",150,2633,27,47,2.15384615384615,https://api.openalex.org/works?filter=author.id:A5027136376,2025-09-07T09:30:52.178331,2023-07-21,2025-09-17T15:09:44.417Z
A5050883332,https://orcid.org/0000-0001-7079-8183,"Brian F. Tivnan","[""Brian F. Tivnan"",""B.F. Tivnan"",""B. F Tivnan"",""Brian Tivnan"",""B. Tivnan""]",65,1250,12,17,0.4,https://api.openalex.org/works?filter=author.id:A5050883332,2025-09-03T04:45:17.976515,2023-07-21,2025-09-17T15:09:45.747Z
A5047517174,https://orcid.org/0000-0002-4155-8815,"Brooke Foucault Welles","[""Brooke Foucault‐Welles"",""Brooke Foucault"",""Brooke Foucault Welles"",""B.F. Welles"",""Brooke F. Welles""]",78,2715,22,33,4.6,https://api.openalex.org/works?filter=author.id:A5047517174,2025-09-14T02:10:24.718210,2023-07-21,2025-09-17T15:09:47.057Z
A5033364470,https://orcid.org/0000-0002-8386-5899,"Caroline O. Buckee","[""Caroline O’Flaherty Buckee"",""Caroline Buckee"",""Caroline O. Buckee"",""C. Buckee"",""C. O. Buckee""]",250,14361,64,146,4.52941176470588,https://api.openalex.org/works?filter=author.id:A5033364470,2025-09-11T02:35:45.595406,2023-07-21,2025-09-17T15:09:48.362Z
A5002034958,https://orcid.org/0000-0002-9857-2845,"Christopher M. Danforth","[""Christopher Danforth"",""Chris M Danforth"",""Christopher M. Danforth"",""C. Danforth"",""C. M. Danforth""]",212,6902,34,74,2.9375,https://api.openalex.org/works?filter=author.id:A5002034958,2025-09-14T01:29:21.137956,2023-07-21,2025-09-17T15:09:49.771Z
A5074921180,https://orcid.org/0000-0003-4123-5028,"Donna M. Rizzo","[""D. M. Rizzo"",""Donna M. Rizzo"",""D. Rizzo"",""Donna Rizzo""]",278,5274,35,86,2.51428571428571,https://api.openalex.org/works?filter=author.id:A5074921180,2025-09-11T04:56:45.052280,2023-07-21,2025-09-17T15:09:51.079Z
A5052717630,https://orcid.org/0000-0002-2670-5864,"Hiroki Sayama","[""Hiroki Sayama"",""Sayama Hiroki"",""H. Sayama""]",349,4769,37,95,2.03225806451613,https://api.openalex.org/works?filter=author.id:A5052717630,2025-09-07T03:19:44.366977,2023-07-21,2025-09-17T15:09:53.225Z
A5001775538,https://orcid.org/0000-0002-8939-1014,"Hugh Garavan","[""Hugh Patrick Garavan"",""Hugh P. Garavan"",""H. Garavan"",""H. P. Garavan"",""Hugh Garavan""]",670,44471,97,370,17.1875,https://api.openalex.org/works?filter=author.id:A5001775538,2025-09-08T23:33:20.193919,2023-07-21,2025-09-17T15:09:54.621Z
A5025745021,https://orcid.org/0000-0002-6190-4412,"Hyejin Youn","[""Hyejin Youn"",""Hye Jin Youn"",""Hye‐Jin Youn""]",58,2533,18,21,3.85714285714286,https://api.openalex.org/works?filter=author.id:A5025745021,2025-09-13T01:16:52.749684,2023-07-21,2025-09-17T15:09:57.466Z
A5062403203,https://orcid.org/0000-0002-4614-0792,"James P. Bagrow","[""J. P Bagrow"",""J. P. Bagrow"",""James P. Bagrow"",""James Bagrow""]",185,5114,24,43,1.29166666666667,https://api.openalex.org/works?filter=author.id:A5062403203,2025-09-09T05:05:04.978034,2023-07-21,2025-09-17T15:09:58.722Z
A5071230789,https://orcid.org/0000-0003-1162-4110,"Jeremiah Onaolapo","[""Jeremiah Onaolapo"",""J Onaolapo""]",36,483,9,9,1.33333333333333,https://api.openalex.org/works?filter=author.id:A5071230789,2025-09-11T21:40:34.844593,2023-07-21,2025-09-17T15:10:00.016Z
A5070850590,https://orcid.org/0000-0002-4464-2692,"Jean-Gabriel Young","[""Jean‐Gabriel Young""]",98,2240,17,23,1.65384615384615,https://api.openalex.org/works?filter=author.id:A5070850590,2025-09-14T00:25:11.207159,2023-07-21,2025-09-17T15:10:01.212Z
A5074456933,https://orcid.org/0000-0001-8200-8150,"John Meluso","[""John Meluso""]",24,111,6,6,1.77777777777778,https://api.openalex.org/works?filter=author.id:A5074456933,2025-09-16T10:42:30.132784,2023-07-21,2025-09-17T15:10:02.490Z
A5072263832,https://orcid.org/0000-0001-5655-4086,"Johan Ugander","[""J Ugander"",""Johan Ugander"",""Johan Holke Olof Ugander""]",109,4095,23,39,1.36842105263158,https://api.openalex.org/works?filter=author.id:A5072263832,2025-09-15T08:49:51.483334,2023-07-21,2025-09-17T15:10:03.680Z
A5066791342,https://orcid.org/0000-0001-8515-0822,"Josh Bongard","[""Josh C. Bongard"",""J. Bongard"",""J. C. Bongard"",""Josh Bongard"",""Joshua Bongard""]",226,9698,43,100,6.81818181818182,https://api.openalex.org/works?filter=author.id:A5066791342,2025-09-13T18:18:00.190015,2023-07-21,2025-09-17T15:10:05.025Z
A5055805371,https://orcid.org/0000-0001-8191-1997,"Lewis Mitchell","[""Liam Mitchell"",""L. Mitchell"",""Lewis Mitchell"",""L B Mitchell""]",210,3332,26,54,1.17142857142857,https://api.openalex.org/works?filter=author.id:A5055805371,2025-09-09T00:22:09.829169,2023-07-21,2025-09-17T15:10:07.266Z
A5053327116,https://orcid.org/0000-0003-3536-5563,"Mads Almassalkhi","[""M. Almassalkhi"",""Mads R. Almassalkhi"",""Mads Almassalkhi"",""Mads Rønne Almassalkhi""]",128,1152,21,34,1.11538461538462,https://api.openalex.org/works?filter=author.id:A5053327116,2025-09-01T04:47:02.704413,2023-07-21,2025-09-17T15:10:08.580Z
A5041730016,https://orcid.org/0000-0002-7775-1430,"Margaret J. Eppstein","[""M. J. Eppstein"",""Margaret J. Eppstein"",""Margaret Eppstein""]",128,3211,27,57,2.6,https://api.openalex.org/works?filter=author.id:A5041730016,2025-09-09T01:27:58.269822,2023-07-21,2025-09-17T15:10:09.874Z
A5036140974,https://orcid.org/0000-0001-5637-9230,"Matthew Price","[""Matthew Price"",""Mathew Price"",""M. Price"",""Matthew B Price""]",153,6439,42,88,2.95454545454545,https://api.openalex.org/works?filter=author.id:A5036140974,2025-09-09T20:39:37.271652,2023-07-21,2025-09-17T15:10:11.242Z
A5047780964,https://orcid.org/0000-0002-8323-1351,"Meredith T. Niles","[""M. T. Niles"",""Meredith Niles"",""Meredith Theresa Niles"",""Meredith T. Niles"",""M. Niles""]",229,5584,36,77,3.42857142857143,https://api.openalex.org/works?filter=author.id:A5047780964,2025-09-10T16:45:26.052277,2023-07-21,2025-09-17T15:10:12.572Z
A5108286740,,"Nicholas Cheney","[""N. Cheney"",""Nicholas C Cheney"",""Nicholas Cheney""]",39,372,12,12,2.66666666666667,https://api.openalex.org/works?filter=author.id:A5108286740,2025-09-01T13:14:07.330367,2024-10-11,2025-09-17T15:10:13.951Z
A5040821463,https://orcid.org/0000-0003-1973-8614,"Peter Sheridan Dodds","[""Peter Sheridan Dodds"",""P. S. Dodds"",""Peter S. Dodds"",""P. Dodds"",""Peter Dodds""]",242,15747,44,84,2.72222222222222,https://api.openalex.org/works?filter=author.id:A5040821463,2025-09-10T04:22:56.087864,2023-07-21,2025-09-17T15:10:15.178Z
A5021330226,https://orcid.org/0000-0001-7278-3292,"Randall Harp","[""Randall Harp""]",17,91,5,2,6.66666666666667,https://api.openalex.org/works?filter=author.id:A5021330226,2025-09-09T08:43:44.972677,2023-07-21,2025-09-17T15:10:16.541Z
A5001816279,https://orcid.org/0000-0001-5051-7719,"Safwan Wshah","[""Safwan Wshah"",""Safwan R. Wshah"",""S. Wshah""]",65,675,15,21,4.11764705882353,https://api.openalex.org/works?filter=author.id:A5001816279,2025-09-12T21:54:56.257534,2023-07-21,2025-09-17T15:10:17.707Z
A5026230453,https://orcid.org/0000-0001-5716-2770,"Samuel V. Scarpino","[""S. V. Scarpino"",""S. Scarpino"",""Samuel Scarpino"",""Samuel V. Scarpino"",""Samuel Vincent Scarpino""]",169,10350,42,72,8.95454545454546,https://api.openalex.org/works?filter=author.id:A5026230453,2025-09-15T08:15:21.070145,2023-07-21,2025-09-17T15:10:18.984Z
A5110702582,,"Sidney Redner","[""Sidney Redner"",""S. Redner""]",118,15450,22,29,0.0,https://api.openalex.org/works?filter=author.id:A5110702582,2025-09-14T11:00:27.794354,2024-10-14,2025-09-17T15:10:20.381Z
A5080731595,https://orcid.org/0000-0002-1892-1188,"Tina Eliassi‐Rad","[""T. Eliassi‐Rad"",""Tina Eliassi‐Rad""]",230,8396,37,82,4.11111111111111,https://api.openalex.org/works?filter=author.id:A5080731595,2025-09-08T22:00:36.969812,2023-07-21,2025-09-17T15:10:21.648Z
