id,title,thumbnail,description,title
wLWbaB9x82E,Talkboctopus Seminar Series: S4 Episode 7: Allison Barner,https://i.ytimg.com/vi/wLWbaB9x82E/sddefault.jpg,"Title: Predicting extinction cascades using species interaction networks

Abstract:
Network studies have long explored the relationship between network structure and stability. In particular, network robustness measures the resistance of a network to node extinction. In other words, how likely is it for a failure at one node to spread and cause a catastrophic and cascading collapse of the network? Although these are well-explored dynamics in theoretical and simulated network studies, rarely have predicted extinctions in networks been compared against real-world observed extinctions. In this talk, I'll discuss a project to generate predicted extinction cascades in Gulf of Maine coastal food webs and a series of observational and experimental tests of these predicted extinctions, bringing together theory, simulation, and empirical studies in a highly perturbed ecosystem.",Talkboctopus Seminar Series: S4 Episode 7: Allison Barner
xYNmWSRcUM8,Talkboctopus Seminar Series: S4 Episode 6: Marta Sales-Pardo,https://i.ytimg.com/vi/xYNmWSRcUM8/sddefault.jpg,"Title: A Bayesian approach to learning mathematical models from data

Abstract:
For a few centuries, scientists have described natural phenomena by means of relatively simple mathematical models such as Newton's law of gravitation or Snell's law of refraction. Sometimes, they found these models deductively, starting from fundamental considerations; more frequently, however, they derived the models inductively from data. With increasing amounts of data available for all sorts of (natural and social) systems, one may argue that we are now in a position to inductively uncover new interpretable models for these systems. But can this process be authomatized? That is, can we design algorithms that automatically learn, from data, the closed-form mathematical models that generated them? And if so, are the true generating models always learnable? In the talk I will discuss how we can use inference approaches to define what we call a Bayesian machine scientists which can obtain closed-form mathematical models from data. We will see how often, noisy observations result in there being multiple models that can describe our data well. Nonetheless, with our approach we can show that there is a transition occurring between: (i) a learnable phase at low observation noise, in which the true model can in principle be learned from the data; and (ii) an unlearnable phase, in which the observation noise is too large for the true model to be learned from the data by any method.
 
Bio:
Marta Sales-Pardo obtained a PhD in Physics from Universitat de Barcelona She did her postdoctoral work at Northwestern University, where she was the recipient of a Fulbright Scholarship and later she became a Research Assistant Professor at the Northwestern University Clinical and Translational Science Institute with joint appointments in the Department of Chemical and Biological Engineering and the Northwestern Institute on Complex Systems. In 2009 she moved to Universitat Rovira i Virgili where she is now a Professor in the Department of Chemical Engineering. In 2013 and 2021 she recevie an ICREA Acadèmia Award for her excellence in research. From 2019 until 2021 she was memeber of the Advisory Board of the McDonnell Foundation. Since 2021 she is a Fellow of the Network Science Society. Since July 2022 she is the president of the Catalan Complex Systems Society.",Talkboctopus Seminar Series: S4 Episode 6: Marta Sales-Pardo
-BUlUpzPyCU,Talkboctopus Seminar Series: S4 Episode 5: Juan Carlos Perdomo,https://i.ytimg.com/vi/-BUlUpzPyCU/sddefault.jpg,"Abstract: When algorithmic predictions are used to inform social decision-making, these predictions don’t just forecast the world around it: they actively shape it. From online recommender platforms to financial predictions, machine learning systems are in active feedback with the surrounding environment and have the ability to steer the underlying data distributions toward different targets. While traditionally neglected, these causal forces of prediction have been recently formalized in a new risk minimization framework called performative prediction.

Following a brief overview of the performative prediction framework, in this talk, I will present some work that directly tries to address the distinction between forecasting future outcomes and steering data distributions toward socially desirable targets. Building upon a new line of research in supervised learning, we introduce the idea of performative omnipredictors. These are simple predictive models that simultaneously encode the optimal decision rule with respect to many possibly-competing objectives. As part of our presentation, we will discuss some connections with the outcome indistinguishability literature and illustrate how the solution concepts we introduce enable decision-makers to flexibly decide on the goals of prediction in performative settings.
 
Bio: Juan Carlos Perdomo is a graduate student in Computer Science at the University of California, Berkeley, where he is co-advised by Moritz Hardt and Peter Bartlett. Before coming to Berkeley, he did his undergrad in computer science and mathematics at Harvard where he worked with Yaron Singer. He is interested in the foundations of machine learning. Before becoming interested in research, he was part of the Puerto Rican national team in sailing.",Talkboctopus Seminar Series: S4 Episode 5: Juan Carlos Perdomo
4QAmKqIM-VM,Talkboctopus Seminar Series: S4 Episode 4: Benjamin Golub,https://i.ytimg.com/vi/4QAmKqIM-VM/sddefault.jpg,"Title: Economic Networks: Robustness and Interventions

Abstract:
We are in a golden age of core ideas from network theory being applied to make progress on major questions in economics. This talk will present two examples of this from my work, both concerning the incentives of firms in economic production.  In the first paper I'll discuss, we model the production of complex goods in a large supply network, where specific relationships, or contracts, between firms are essential. A supply network is called fragile if aggregate output is very sensitive to small aggregate shocks. We model both the mechanics and the strategic forces that determine network robustness. By building a new interface between percolation theory and canonical models of economic production, we show that supply networks of intermediate productivity are fragile in equilibrium, even though this is always inefficient.
The second paper also focuses on a network of firms, but now the key interaction arises from how the demand for a firm's output is affected by other firms' choices: the firms sell goods that are either consumed together or are substitutes (competitors) for one another. The main questions are: how volatile are prices and measures of economic welfare to economic shocks (e.g., changes in commodity prices), and how should a planner intervene to improve the welfare a market delivers? Our main conceptual contribution is to use a certain basis of the goods space, determined by the network of interactions among suppliers. It consists of principal components. By developing a new approach for using this principal component perspective to analyze the market, we can give new and sharp answers to both main questions. The results permit us to leverage the theory of spectral approximation (recently attracting a lot of interest in the statistical analysis of big data) to design optimal interventions even when the demand system is observed with a lot of noise.
 
Bio:
Benjamin Golub is a Professor of Economics at Northwestern University. His research focuses on social and economic networks, particularly in models of social learning, local public goods, peer effects, and the formation of social capital. A recurring theme is capturing aspects of networks through theory-based summary statistics that can be useful in empirical studies and policy analyses. Before joining Northwestern, he was on the faculty at the Harvard Department of Economics and spent two years as a Junior Fellow at the Harvard Society of Fellows. He has received the Calvó-Armengol International Prize, an NSF CAREER grant (2019), and the Aliprantis Prize (2012) with Matt Elliott for an outstanding paper by a young economic theorist.  He was educated at Stanford (Ph.D. in economics) and Caltech (B.S., mathematics).",Talkboctopus Seminar Series: S4 Episode 4: Benjamin Golub
GmVoSYlzcyA,Talkboctopus Seminar Series: S4 Episode 3: Jeremy Blackburn,https://i.ytimg.com/vi/GmVoSYlzcyA/sddefault.jpg,"Abstract:
Over the past couple of decades, the growth and ubiquity of the Internet, and social media in particular, has drastically changed the world. While things like the rapid spread of knowledge and instant communication have certainly had a positive impact, the Internet has also enabled the spread of disinformation and coordination of both online attacks and physical violence. In this talk, I present a data-driven understanding of the darker side of the Web.
Among other things, I will show how we can measure the evolution and splintering of extremist groups over time and how conspiracy theories form and are disseminated online. I will also cover how extremist language changes and novel socio-technical attacks rapidly manifest in response to real-world events. Finally, I will discuss the nuanced relationship that science itself has with online jerks.
 
Bio:
Jeremy Blackburn is an Assistant Professor in the Dept. of Computer Science at Binghamton University. Jeremy is broadly interested in data science, with a focus on large-scale measurements and modeling. His largest line of work is in understanding jerks on the Internet. His award-winning research into understanding toxic behavior, hate speech, and fringe and extremist Web communities has been covered in the press by the likes of The Washington Post, the New York Times, and Infowars, among others. Jeremy has an Erdos-Bacon number of O(7), has been quoted by Zizek, and has had at least one League of Legends account permabanned.",Talkboctopus Seminar Series: S4 Episode 3: Jeremy Blackburn
FLIDlqlJL30,Talkboctopus Seminar Series: S4 Episode 2: Samson Goddy,https://i.ytimg.com/vi/FLIDlqlJL30/sddefault.jpg,"Samson Goddy is a software engineer who believes in changing the world in his way. He is an open-source advocate, primarily maintaining the Sugar Labs projects, the organization behind the Linux-flavored interface called Sugar Desktop. He is the co-founder of Open Source Community Africa, a project he cares about because it allows him to reflect his love for open source while building large projects that help the budding open-source community in Africa. He serves as a board member of the Open Source Collective, a project that helps sustain open-source projects through the open collective platform. He is on the board of directors of Sugar Labs, the new organization behind the Sugar Desktop project. He previously served on an oversight board with the organization, primarily focusing on growth and partnerships.

Out of his open-source world, he consults with African governments on technology and has led programs for state and federal governments. He currently consults for the International Telecommunication Union, the African Union, and UN Women to bring more women into technology on the continent through the AGGCI project.",Talkboctopus Seminar Series: S4 Episode 2: Samson Goddy
tiEBqoizpuU,Talkboctopus Seminar Series: S4 Episode 1: Dani Bassett,https://i.ytimg.com/vi/tiEBqoizpuU/sddefault.jpg,"Title:
Mathematical models of curiosity

Abstract: 
What is curiosity? Is it an emotion? A behavior? A cognitive process? Curiosity seems to be an abstract concept—like love, perhaps, or justice—far from the realm of those bits of nature that mathematics can possibly address. However, contrary to intuition, it turns out that the leading theories of curiosity are surprisingly amenable to formalization in the mathematics of network science. In this talk, I will unpack some of those theories, and show how they can be formalized in the mathematics of networks. Then, I will describe relevant data from human behavior and linguistic corpora, and ask which theories that data supports. Throughout, I will make a case for the position that individual and collective curiosity are both network building processes, providing a connective counterpoint to the common acquisitional account of curiosity in humans. 
Reference: Perry Zurn & Dani S. Bassett. Curious Minds: The Power of Connection. MIT Press, 2022.

Bio:
Prof. Bassett is the J. Peter Skirkanich Professor at the University of Pennsylvania, with appointments in the Departments of Bioengineering, Electrical & Systems Engineering, Physics & Astronomy, Neurology, and Psychiatry. They are also an external professor of the Santa Fe Institute. Bassett is most well-known for blending neural and systems engineering to identify fundamental mechanisms of cognition and disease in human brain networks. They received a B.S. in physics from Penn State University and a Ph.D. in physics from the University of Cambridge, UK as a Churchill Scholar, and as an NIH Health Sciences Scholar. Following a postdoctoral position at UC Santa Barbara, Bassett was a Junior Research Fellow at the Sage Center for the Study of the Mind. They have received multiple prestigious awards, including American Psychological Association's ‘Rising Star’ (2012), Alfred P Sloan Research Fellow (2014), MacArthur Fellow Genius Grant (2014), Early Academic Achievement Award from the IEEE Engineering in Medicine and Biology Society (2015), Office of Naval Research Young Investigator (2015), National Science Foundation CAREER (2016), Popular Science Brilliant 10 (2016), Lagrange Prize in Complex Systems Science (2017), Erdos-Renyi Prize in Network Science (2018), OHBM Young Investigator Award (2020), AIMBE College of Fellows (2020), American Physical Society Fellow (2021), and has been named one of Web of Science's most Highly Cited Researchers for 3 years running. Bassett is the author of more than 300 peer-reviewed publications, which have garnered over 33,000 citations, as well as numerous book chapters and teaching materials. Bassett’s work has been supported by the National Science Foundation, the National Institutes of Health, the Army Research Office, the Army Research Laboratory, the Office of Naval Research, the Department of Defense, the Alfred P Sloan Foundation, the John D and Catherine T MacArthur Foundation, the Paul Allen Foundation, the ISI Foundation, and the Center for Curiosity. Bassett has an academic trade book coming out this year with MIT Press, co-authored with philosopher and twin Perry Zurn, and titled Curious Minds: The Power of Connection.",Talkboctopus Seminar Series: S4 Episode 1: Dani Bassett
J7EzVeQTYp8,Talkboctopus Seminar Series: S3 Episode 8: Demival Vasques Filho,https://i.ytimg.com/vi/J7EzVeQTYp8/sddefault.jpg,"Title:
Building a framework for population-scale network analysis

Abstract:  
Traditional network analysis methods become unfeasible when addressing the structure of large-scale networks. First, it is computationally too expensive and even irrelevant to calculate centrality scores for networks of millions of people. Second, and more importantly, one-mode networks (and pairwise interactions) are insufficient as they disregard the crucial role that organizations play in forming social structures. Thus, a more realistic approach to general population structures is crucial to enhance data collection methods, study design in several fields, and policy-making.

In the talk, I will discuss the main points and concepts we are considering for building a framework that spotlights organizations (collective interactions). The framework emphasizes that ties between actors arise and evolve according to the organizations to which they belong, a notion straightforwardly modeled through two-mode and projected networks. I argue that structural properties such as tie strength, heterogeneity of actor popularity and strength, clustering, communities, and segregation emerge from homophily, jointly with overlap and social activity–two mechanisms we introduce in this framework. That is, the framework challenges the widely accepted role of preferential attachment and triadic closure as primary mechanisms of social network formation. Our results so far show that organization size distributions modulate network structures by interweaving with social activity distributions and that overlap increases segregation from a network viewpoint. The framework’s implications are broad, potentially affecting the study design of several social processes ranging from social cohesion, tolerance, and child development to the spread of infectious diseases.


Bio:
Demival Vasques Filho holds a bachelor's degree in Engineering Physics from the Federal University of Sao Carlos (UFSCar), in Brazil. After graduating, he went to work in the industry, returning to academia after a long break in 2015. He obtained his Ph.D. in Physics, in the area of complexity and network theory, at the University of Auckland, in New Zealand. His thesis explored the structure and evolution of large social networks. During his Ph.D., he was part of several different projects involving networks, such as collaboration networks for scientific and technological innovation, networks of political power and political activity, and correspondence networks in the modern Portuguese Empire. He is interested in developing new methods and expanding the application of complex systems concepts to the study of the humanities and social sciences.",Talkboctopus Seminar Series: S3 Episode 8: Demival Vasques Filho
snQSJ_-nwps,Talkboctopus Seminar Series: S3 Episode 6: Zachary Kilpatrick,https://i.ytimg.com/vi/snQSJ_-nwps/sddefault.jpg,"Title:
Diversity and heterogeneity can improve the efficiency of collective decisions

Talk Abstract:
Many organisms regularly make decisions regarding foraging, home-site selection, mating, and danger avoidance in groups ranging from hundreds up to millions of individuals. These decisions involve evidence-accumulation processes by individuals and information exchange within the group. Moreover, these decisions take place in complex, dynamic, and spatially structured environments, which shape the flow of information between group mates. We will present a statistical inference model for framing evidence accumulation and belief sharing in groups and some examples of how interactions shape decision efficiency in groups. Our canonical model is of Bayesian agents deciding between two equally likely options by accumulating evidence to a threshold. First passage times and error rates can be accurately estimated using asymptotics for order statistics in the limit of large group sizes. When neighbors only share their decisions with each other, groups comprised of individuals with a distribution of decision thresholds make more efficient decisions than homogeneous ones. To conclude, we will briefly discuss specific examples of the impacts of spatial and communication heterogeneity on collective decision making in foraging animal groups like honey bees and primates.

Speaker Bio:
Zachary Kilpatrick is an Associate Professor of Applied Mathematics at the University of Colorado Boulder and a Fellow of the Institute of Cognitive Science. His research interests are in the fields of applied dynamical systems, mathematical neuroscience, and collective behavior. He uses methods in stochastic processes, applied PDE, and asymptotic analysis to understand the cognitive mechanisms underlying decision-making, short term memory, and foraging. Zack has a BA in Computational and Applied Mathematics as well as a BA in History from Rice University (2005). After obtaining his PhD in Mathematics (2010) from University of Utah (in the Mathematical Biology Group), he spent two years as an NSF Mathematical Sciences Postdoctoral Research Fellow at the University of Pittsburgh. Zack started his first tenure track position in the Department of Mathematics at the University of Houston in 2012, and then moved to CU Boulder in 2016. In his spare time, he cooks, eats, runs, hikes, mountain bikes, and skis.",Talkboctopus Seminar Series: S3 Episode 6: Zachary Kilpatrick
iOd8HCQM3qU,Talkboctopus Seminar Series: S3 Episode 7: Timothée Poisot,https://i.ytimg.com/vi/iOd8HCQM3qU/sddefault.jpg,"Title:
Something from nothing: transfer learning and the global structure of species interaction networks

Abstract:
Despite their importance in many ecological processes, collecting data and information on ecological interactions is an exceedingly challenging task. For this reason, large parts of the world have a data deficit when it comes to species interactions, and how the resulting networks are structured. As data collection alone is unlikely to be sufficient, community ecologists must adopt predictive methods. We present a methodological framework that uses graph embedding and transfer learning to assemble a predicted list of trophic interactions of a species pool for which their interactions are unknown. Specifically, we ‘learn’ the information (latent traits) of species from a known interaction network and infer the latent traits of another species pool for which we have no a priori interaction data based on their phylogenetic relatedness to species from the known network. The latent traits can then be used to predict interactions and construct an interaction network. Here we assembled a metaweb for Canadian mammals derived from interactions in the European food web, despite only 4% of common species being shared between the two locations. The results of the predictive model are compared against databases of recorded pairwise interactions, showing that we correctly recover 91% of known interactions. The framework itself is robust even when the known network is incomplete or contains spurious interactions making it an ideal candidate as a tool for filling gaps when it comes to species interactions. We provide guidance on how this framework can be adapted by substituting some approaches or predictors in order to make it more generally applicable.

Bio:
Timothée Poisot is an associate professor of Quantitative & Computational Ecologist at the Université de Montréal. His lab researches how complex ecological systems function, change, and evolve, using simulations, mathematics, and machine learning.  He studies ecological networks, biogeography, and epidemics.",Talkboctopus Seminar Series: S3 Episode 7: Timothée Poisot
