name
Ben Cooley
Jonathan St-Onge
Luc Cohen-Weiss
Michael Arnold
Michelle Morgenstern
Neil Traft
Parisa Suchdev
Chris Danforth
Peter Dodds
"Kendall Fortney · VERSO"
Vermont VACC
Tabia Tanzin Prama
Alejandro Javier Ruiz Iglesias
"Local librarians, libraries, educators, and schools"
Marc Natanagara
"SOCKS grant, NSF OIA 2242829"
Joe Clark
UVM AI Innovation Award
VCSI Complexity Award
Maggie Jones
Renee Simkins
"Expert contributions to card prototype ideas from affiliates of UVM, Limerick University, Northeastern University, Adelaide University and IFISC"
